UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Institutional Proposal Contacts,Project Personnel,institutional Proposal Project Personnel,,,,InstitutionalProposalPerson,person.fullName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnel.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; rendered from a related object (person/rolodex/unit/sponsor), not stored on the Award record itself; no DataDictionary label in source; UI name not asserted"
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Academic Year Effort,,Academic Year Effort,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,academicYearEffort,PROPOSAL_PERSONS,ACADEMIC_YEAR_EFFORT,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Calendar Year Effort,,Calendar Year Effort,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,calendarYearEffort,PROPOSAL_PERSONS,CALENDAR_YEAR_EFFORT,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Faculty,,Faculty flag,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,faculty,PROPOSAL_PERSONS,FACULTY_FLAG,CHAR,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Include in Credit Allocation,,Include in Credit Allocation,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,includeInCreditAllocation,PROPOSAL_PERSONS,ADD_CREDIT_SPLIT,CHAR,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Project Role,,Project Role,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,keyPersonRole,PROPOSAL_PERSONS,KEY_PERSON_PROJECT_ROLE,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Summer Effort,,Summer Effort,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,summerEffort,PROPOSAL_PERSONS,SUMMER_EFFORT,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Person Details,institutional Proposal Project Personnel Person Details,Total Effort,,Total Effort,org.kuali.kra.institutionalproposal.contacts.InstitutionalProposalPerson,totalEffort,PROPOSAL_PERSONS,TOTAL_EFFORT,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelPersonDetails.tag,
Institutional Proposal Contacts,Unit Details,institutional Proposal Project Personnel Units,,,,InstitutionalProposal,InstitutionalProposalPersonUnit.leadUnit,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelUnits.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Institutional Proposal Contacts,Unit Details,institutional Proposal Project Personnel Units,,,,InstitutionalProposal,InstitutionalProposalPersonUnit.unitNumber,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalProjectPersonnelUnits.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Institutional Proposal Contacts,Unit Contacts,institutional Proposal Unit Contacts,,,,InstitutionalProposal,InstitutionalProposalContact.fullName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalUnitContacts.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Institutional Proposal Custom Data,Additional Dates,institutional Proposal Custom Data,Submitted Date,ip_submission_date,ip_submission_date,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Date,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,480,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 480; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Center Affiliation,institutional Proposal Custom Data,Center Affiliation,center_affiliation,center_affiliation,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,500,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 500; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Export Control,institutional Proposal Custom Data,Export Control Not Applicable,ExportCntrlNA,ExportCntrlNA,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1500,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1500; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Export Control,institutional Proposal Custom Data,Export Control section left blank on PSF,ExportCntrlBlank,ExportCntrlBlank,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1540,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1540; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Export Control,institutional Proposal Custom Data,Export control restrictions,ExportCntrlRestriction,ExportCntrlRestriction,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1530,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1530; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Export Control,institutional Proposal Custom Data,Prior approval for dissemination/publications,PriorApprvDissemPub,PriorApprvDissemPub,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1510,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1510; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Export Control,institutional Proposal Custom Data,Restrictions on access or participation by foreign nationals,RestrictForeignN,RestrictForeignN,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1520,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1520; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Fellowships,institutional Proposal Custom Data,Cancelled Billing Agreement,cancld_billing_agrmt,cancld_billing_agrmt,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1120,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1120; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Fellowships,institutional Proposal Custom Data,Postdoctoral Fellowship? (Y/N),post_doc_fellow,post_doc_fellow,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1110,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1110; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,Fellowships,institutional Proposal Custom Data,Predoctoral Fellowship? (Y/N),pre_doc_fellow,pre_doc_fellow,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1100,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1100; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,COVID Vaccine Mandate,COVID_Vaccine_Mandate,COVID_Vaccine_Mandate,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1222,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1222; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,COVID-19 Research,Covid_19_Research,Covid_19_Research,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1221,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1221; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,Limited Submission Opportunity,Limited_Submission_Opportunity,Limited_Submission_Opportunity,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,9,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 9; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,NIH Activity Code,ActvCode,ActvCode,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1215,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1215; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,Opportunity Number,OppNum,OppNum,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1214,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1214; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,Opportunity Title,OppTitle,OppTitle,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,1209,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 1209; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,Trump Exec Order Cert,Trump_Exec_Order_Cert,Trump_Exec_Order_Cert,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,6,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 6; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,General,institutional Proposal Custom Data,Trump Exec Order Cert Det,Trump_Exec_Order_Cert_Det,Trump_Exec_Order_Cert_Det,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Long String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,5,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 5; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,International Activity,institutional Proposal Custom Data,Country or countries involved,Internl_countries,Internl_countries,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,String,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,795,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 795; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,International Activity,institutional Proposal Custom Data,International activity? (excluding travel to conferences) (Y/N),internl_research,internl_research,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,700,Y,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 700; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,International Activity,institutional Proposal Custom Data,Is this activity primarily collaboration with colleagues? (Y/N),prim_travel,prim_travel,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Boolean,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,710,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 710; VALUE is generic EAV storage, not the field name"
Institutional Proposal Custom Data,International Activity,institutional Proposal Custom Data,Percent of the overall effort that will be performed in another country,internl_effort,internl_effort,org.kuali.kra.institutionalproposal.customdata.InstitutionalProposalCustomData,value,PROPOSAL_CUSTOM_DATA,VALUE,Number,CUSTOM_ATTRIBUTE,ID,LABEL,BU_CUSTOM_ATTRIBUTE,793,,,HIGH,KCOEUS.CUSTOM_ATTRIBUTE + CUSTOM_ATTRIBUTE_DOCUMENT (production),"logical field is CUSTOM_ATTRIBUTE_ID 793; VALUE is generic EAV storage, not the field name"
