DOMAIN,TABLE_NAME,EXTRACT_TYPE,ROW_COUNT,COLUMN_COUNT,PRIMARY_KEY,LINEAGE_KEYS,CONTAINS_PII,NOTES
Award,AWARD_IDC_RATE,FULL,10,17,AWARD_IDC_RATE_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_METHOD_OF_PAYMENT,FULL,38,6,METHOD_OF_PAYMENT_CODE,,N,
Award,AWARD_NOTEPAD,FULL,34,13,AWARD_NOTEPAD_ID,"AWARD_ID,AWARD_NUMBER",N,
Award,AWARD_NOTICE,EMPTY,0,5,AWARD_NOTICE_ID,"AWARD_ID,AWARD_NUMBER,UNIT_NUMBER",N,"no rows in production; columns documented, no data file"
Award,AWARD_NOTIFICATION,FULL,2,12,NOTIFICATION_ID,DOCUMENT_NUMBER,N,
Award,AWARD_PAYMENT_SCHEDULE,FULL,3,22,AWARD_PAYMENT_SCHEDULE_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_PERSONS,SAMPLE,345596,20,AWARD_PERSON_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER,PERSON_ID,ROLODEX_ID",Y,PII: send column structure + masked sample only
Award,AWARD_PERSON_CREDIT_SPLITS,SAMPLE,216156,8,AWARD_PERSON_CREDIT_SPLIT_ID,,N,
Award,AWARD_PERSON_UNITS,SAMPLE,353105,8,AWARD_PERSON_UNIT_ID,UNIT_NUMBER,N,
Award,AWARD_PERS_UNIT_CRED_SPLITS,SAMPLE,198926,8,APU_CREDIT_SPLIT_ID,,N,
Award,AWARD_POSTS,EMPTY,0,11,,"AWARD_ID,DOCUMENT_NUMBER",N,"no rows in production; columns documented, no data file"
Award,AWARD_REPORT_NOTIFICATION_SENT,EMPTY,0,11,AWARD_REPORT_NOTIF_SENT_ID,AWARD_NUMBER,N,"no rows in production; columns documented, no data file"
Award,AWARD_REPORT_TERMS,SAMPLE,839095,14,AWARD_REPORT_TERMS_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_REPORT_TRACKING,SAMPLE,1273909,29,AWARD_REPORT_TRACKING_ID,"AWARD_ID,AWARD_NUMBER,SPONSOR_CODE",N,
Award,AWARD_REP_TERMS_RECNT,EMPTY,0,10,AWARD_REP_TERMS_RECNT_ID,ROLODEX_ID,N,"no rows in production; columns documented, no data file"
Award,AWARD_SCIENCE_KEYWORD,EMPTY,0,7,AWARD_SCIENCE_KEYWORD_ID,AWARD_ID,N,"no rows in production; columns documented, no data file"
Award,AWARD_SPECIAL_REVIEW,SAMPLE,134513,14,AWARD_SPECIAL_REVIEW_ID,AWARD_ID,N,
Award,AWARD_SPONSOR_CONTACTS,FULL,16,11,AWARD_SPONSOR_CONTACT_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER,ROLODEX_ID",Y,PII: send column structure + masked sample only
Award,AWARD_SPONSOR_TERM,SAMPLE,4063797,9,AWARD_SPONSOR_TERM_ID,"AWARD_ID,AWARD_NUMBER,SEQUENCE_NUMBER",N,
Award,AWARD_STATUS,FULL,10,6,STATUS_CODE,,N,
Award,AWARD_SUBCONTRACT_GOALS_EXP,EMPTY,0,22,AWARD_NUMBER,AWARD_NUMBER,N,"no rows in production; columns documented, no data file"
Award,AWARD_SYNC_CHANGE,EMPTY,0,15,AWARD_SYNC_CHANGE_ID,AWARD_ID,N,"no rows in production; columns documented, no data file"
Award,AWARD_SYNC_LOG,EMPTY,0,10,AWARD_SYNC_LOG_ID,,N,"no rows in production; columns documented, no data file"
Award,AWARD_SYNC_STATUS,EMPTY,0,11,AWARD_SYNC_STATUS_ID,"AWARD_ID,AWARD_NUMBER",N,"no rows in production; columns documented, no data file"
Award,AWARD_TEMPLATE,FULL,29,10,AWARD_TEMPLATE_CODE,,N,
Award,AWARD_TEMPLATE_COMMENTS,FULL,31,9,AWARD_TEMPLATE_COMMENTS_ID,,N,
Award,AWARD_TEMPLATE_CONTACT,EMPTY,0,8,AWARD_TEMPLATE_CONTACT_ID,ROLODEX_ID,N,"no rows in production; columns documented, no data file"
